Организация;Операция;Описание техкарты;Общая трудоемкость техкарты;Время ремонта;Источник;Номер операции;Отдел;Описание операции;Длинное описание;Источник операции;Номер ресурса;Ресурс;ЕИ;Трудоемкость;Назначенные единицы;Использование в планировании
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 000;ЧЭК;Услуга ТОиР;Услуга ТОиР;;10;ТРЭРЦ;ЧЧ;97.9;1;Нет
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 010;Внешний;Допуск;Оформление нарада, допуск бригады.;;10;ЭЛМНРиОЭО5;Ч;0.33;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 020;Внешний;Разборка;Демонтаж маслоподводящих труб. Установка меток совмещения на фланцы. Принятие мер исключающих попадание посторонних предметов в открытые трубы. Измерение зазоров между фланцами.;;10;ЭЛМНРиОЭО5;Ч;0.33;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 030;Внешний;Разборка;Слив масла с корпуса подшипников. (открутить 2 пробки);;10;ЭЛМНРиОЭО5;Ч;0.07;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 040;Внешний;Разборка;Отсоединить трубопроводы охлаждающей воды и демонтировать воздухоохладитель.;;10;ЭЛМНРиОЭО5;Ч;2;1;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 050;Внешний;Разборка;Установить ротор в положении когда ось любых диаметрально расположенных полюсов будет расположена строго вертикально;;10;ЭЛМНРиОЭО5;Ч;0.5;1;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 060;Внешний;Разборка;Демонтировать генератор PMG;;10;ЭЛМНРиОЭО5;Ч;3;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 070;Внешний;Разборка;Демонтаж с помощью ГПМ верних половин торцевых щитов генератора (открутить 30*2 болтовых соединений);;10;ЭЛМНРиОЭО5;Ч;0.7;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 080;Внешний;Разборка;Вставить прокладку между ротором и статором возбудителя. Открутить болты крепящие статор возбудителя к нижнеей полусфере подшипникового щита оперев тем самым статор на ротор.;;10;ЭЛМНРиОЭО5;Ч;2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 090;Внешний;Разборка;Демонтаж верних и нижних половин направляющего аппарата (внутренних щитов) генератора.;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 100;Внешний;Разборка;Демонтаж верхней половины корпуса подшипника и верхней половины вкладыша подшипника.;;10;ЭЛМНРиОЭО5;Ч;4;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 110;Внешний;Измерение;Оценка состояния шеек вала и измерение бокового зазора нижней половины вкладыша подшипника;;10;ЭЛМНРиОЭО5;Ч;0.27;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 120;Внешний;Разборка;Укрытие шеек вала ротора защитным материалом.;;10;ЭЛМНРиОЭО5;Ч;0.2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 130;Внешний;Разборка;Установка приспособлений для вывешивания ротора, вывешивание ротора со стороны турбины.;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 140;Внешний;Разборка;Демонтаж нижней половины вкладыша подшипника со стороны турбины.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 150;Внешний;Разборка;Демонтаж нижней половины щита с корпусом подшипника со стороны турбины;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 160;Внешний;Разборка;Установка предохранительных (защитных) листов в зазор между ротором и статором со стороны турбины. Фиксация данных листов.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 170;Внешний;Разборка;Установка ротора с опиранием его на сердечник статора. Демонтаж приспособлений для вывешивания ротора.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 180;Внешний;Разборка;Установка приспособлений для вывешивания ротора, вывешивание ротора со стороны нерабочего конца вала (со стороны возбудителя).;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 190;Внешний;Разборка;Демонтаж нижней половины вкладыша подшипника со стороны возбудителя.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 200;Внешний;Проверка;Проверка состояния баббита подшипника.;;10;ЭЛМНРиОЭО5;Ч;0.2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 210;Внешний;Проверка;Проверка отсутствие утечек масла из подшипника;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 220;Внешний;Проверка;Проверка отражателя масла подшипника;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 230;Внешний;Проверка;Проверка смазочного кольца подшипника на отсутствие деформации или износа;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 240;Внешний;Разборка;Демонтаж нижней половины щита с корпусом подшипника со стороны возбудителя.;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 250;Внешний;Разборка;Установка опорного приспособления на вал ротора генератора со стороны турбины;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 260;Внешний;Разборка;Установка рым болтов на вал ротора со стороны возбудителя.;;10;ЭЛМНРиОЭО5;Ч;0.15;2;Да
