Организация;Номер актива;Серийный номер;Описание актива;Группа активов;Критичность;Номер родительского актива
Ч20;ИПТ-АКК@000000010;Ч019843;Фидер питания потребителей 0.4кВ;ИПТ-АКК;Средний;Ч.ТЭЦ.8QF. 7ШВ2 раб ввод
Ч20;ИПТ-АКК@000000011;Ч019844;Фидер питания потребителей 0.4кВ;ИПТ-АКК;Средний;Ч.ТЭЦ.8QF. 7ШВ2 рез ввод
Ч20;ИПТ-АКК@000000012;Ч019845;Щиток рабочего освещения (в комплекте с автоматическими выключателями) поз.8ЩО;ИПТ-АКК-ОР-18;Средний;Ч.ТЭЦ.8ЩО
Ч20;ИПТ-АКК@000000013;Ч019846;Кабель питания щитка рабочего освещения поз. 8ЩО;ИПТ-АКК-ОР-21;Средний;Ч.ТЭЦ.8ЩО
Ч20;ЭЛА-ЯРП@000001995;Ч028631;Ячейка D12PLF;ЭЛА-ЯРП;Высокий;Ч.ТЭЦ.8.ЭЛС.ГРУ6.Я62
Ч20;ЭЛА-РЗА@000001547;Ч028632;РЗА яч.62;ЭЛА-РЗА;Высокий;Ч.ТЭЦ.8.ЭЛС.ГРУ6.Я62
Ч20;Ч.ТЭЦ.8.ЭЛС.ТЦ2.ЧДА;Ч032206;Частотная делительная автоматика ТЦ-2;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.8.ЭЛС.ТЦ2
Ч20;ЭЛА-РЗА@000001551;Ч032207;РЗА ЧДА, ДАЧР секций №5, 6, 7 ГРУ-10кВ ;ЭЛА-РЗА;Высокий;Ч.ТЭЦ.8.ЭЛС.ТЦ2.ЧДА
Ч20;Ч.ТЭЦ.9.ОБК.618.АЩО;Ч032234;АЩО (аварийное освещение к. 618), 5 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.618
Ч20;Ч.ТЭЦ.9.ОБК.900.ЩРО1;Ч032235;ЩРО-1 (рабочее освещение к. 900), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.900
Ч20;Ч.ТЭЦ.9.ОБК.900.ЩРО2;Ч032236;ЩРО-2 (рабочее освещение к. 900), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.900
Ч20;Ч.ТЭЦ.9.ОБК.900.ЩРО3;Ч032237;ЩРО-3 (рабочее освещение к. 900), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.900
Ч20;Ч.ТЭЦ.9.ОБК.900.ЩАО1;Ч032238;ЩАО-1 (аварийное освещение к. 900), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.900
Ч20;Ч.ТЭЦ.9.ОБК.900.ЩАО2;Ч032239;ЩАО-2 (аварийное освещение к. 900), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.900
Ч20;Ч.ТЭЦ.9.ОБК.901.ЩРО1;Ч032240;ЩРО-1 (рабочее освещение к. 901), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.901
Ч20;Ч.ТЭЦ.9.ОБК.901.ЩРО2;Ч032241;ЩРО-2 (рабочее освещение к. 901), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.901
Ч20;Ч.ТЭЦ.9.ОБК.901.ЩРО3;Ч032242;ЩРО-3 (рабочее освещение к. 901), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.901
Ч20;Ч.ТЭЦ.9.ОБК.901.ЩАО1;Ч032243;ЩАО-1 (аварийное освещение к. 901), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.901
Ч20;Ч.ТЭЦ.9.ОБК.901.ЩАО2;Ч032244;ЩАО-2 (аварийное освещение к. 901), 7 отходящих линий.;ПО-ПОЗИЦИИ;Высокий;Ч.ТЭЦ.9.ОБК.901
